Correlation name	DESC	XQL query																								
AWS Create Policy allows accessing any resource		"dataset = amazon_aws_raw 
| filter eventName = ""CreatePolicyVersion""
| alter policyDocument = json_extract_scalar(requestParameters, ""$.policyDocument"")
| filter policyDocument != null
| fields policyDocument 
| alter statement = json_extract_array(policyDocument , ""$.Statement"")
| arrayexpand statement 
| alter Effect = statement -> Effect , Resource = json_extract_array(statement , ""$.Resource"")
| filter Effect = ""Allow"" and Resource ~= ""\""\*\"""""																								
AWS CreateAccessKey for a different user		"dataset = amazon_aws_raw 
| filter eventName = ""CreateAccessKey""
| alter userName = userIdentity -> userName,targetUserName = requestParameters -> userName
| filter userName != targetUserName "																								
AWS CreateLoginProfile for another user		"dataset = amazon_aws_raw 
| filter eventName = ""CreateLoginProfile""
| alter userName = userIdentity -> userName,targetUserName = requestParameters -> userName
| filter userName != targetUserName 
| join (dataset = amazon_aws_raw | filter eventName = ""ConsoleLogin"") as logins logins.sourceIPAddress = sourceIPAddress "																								
AWS Credential Access GetPasswordData		"dataset = amazon_aws_raw 
| filter eventName=""GetPasswordData"" and eventSource = ""ec2.amazonaws.com""
| alter instanceId = requestParameters -> instanceId, principalId = userIdentity -> principalId"																								
AWS Credential Access RDS Password reset		"dataset = amazon_aws_raw 
| filter eventName = ""ModifyDBInstance""
| alter masterUserPassword= json_extract_scalar(requestParameters, ""$.masterUserPassword"")
| filter masterUserPassword!= null"																								
AWS Defense Evasion Delete CloudWatch Log Group		"dataset = amazon_aws_raw 
| filter eventName = ""DeleteLogGroup""and  userAgent !=""console.amazonaws.com"""																								
"AWS Defense Evasion Disabling Cloudtrail
"		"dataset = amazon_aws_raw 
| filter eventName in (""DeleteTrail"",""StopLogging"") and eventSource = ""cloudtrail.amazonaws.com"" and userAgent !=""console.amazonaws.com"""																								
AWS Defense Evasion Impair Security Services		"dataset = amazon_aws_raw 
| filter eventName  in (""DeleteLogStream"",""DeleteDetector"",""DeleteIPSet"",""DeleteWebACL"",""DeleteRule"",""DeleteRuleGroup"",""DeleteLoggingConfiguration"") "																								
AWS ECR Image Scanning Findings		"dataset = amazon_aws_raw 
| filter eventSource=""ecr.amazonaws.com"" and eventName=""DescribeImageScanFindings"""																								
AWS Security Group is exposing to the internet		"dataset = amazon_aws_raw
| filter eventName = ""AuthorizeSecurityGroupIngress""
| alter items = json_extract_array(requestParameters,""$.ipPermissions.items"")
| fields items, requestParameters 
| arrayexpand items
| alter toPort = items->toPort
| filter toPort in (""3389"",""22"") and requestParameters contains ""0.0.0.0/0"""																								
AWS Root User Login Failed		"dataset = amazon_aws_raw 
| filter eventName = ""ConsoleLogin"" | alter userType = json_extract_scalar(userIdentity , ""$.type"") , outcome = json_extract_scalar(responseElements ,""$.ConsoleLogin""), MFAUsed = json_extract_scalar(additionalEventData,""$.MFAUsed"")
| filter userType = ""Root"" and outcome = ""Failure"" and MFAUsed = ""No"""																								
AWS RDS Changed to be publicly accessible		"dataset = amazon_aws_raw 
| filter eventName = ""ModifyDBInstance""
| alter publiclyAccessible = json_extract_scalar(requestParameters, ""$.publiclyAccessible"")
| filter publiclyAccessible = ""true"""																								
AWS Multi-Factor Authentication Disabled		"dataset = amazon_aws_raw 
| filter eventName= ""DeleteVirtualMFADevice"" OR eventName=""DeactivateMFADevice"""																								
AWS Block Public Access Configuration Change		"dataset = amazon_aws_raw 
| filter eventName = ""PutBucketPublicAccessBlock""
| alter PublicAccessBlockConfiguration = json_extract(requestParameters , ""$.PublicAccessBlockConfiguration"")
| filter PublicAccessBlockConfiguration contains ""true"""																								
AWS Multiple failed logins from the same IP		"dataset =  amazon_aws_raw 
| filter eventName = ""ConsoleLogin""
| alter outcome = json_extract_scalar(responseElements , ""$.ConsoleLogin"" ) , user = json_extract_scalar(userIdentity , ""$.sessionContext.sessionIssuer.userName"") 
| filter outcome = ""Failure""
| comp count() by sourceIPAddress
| filter count > 100"																								
AWS S3 Block Public Access was disabled for S3 bucket		"dataset =  amazon_aws_raw 
| filter eventName = ""BucketBlockPublicAccessDisabled""
"																								
AWS S3 server access logging was disabled for a bucket		"dataset =  amazon_aws_raw 
| filter eventName = ""PutBucketLogging"""																								
